section	type	order	question	content
faqs	faq	1	How can I purchase a work by David Hockney?	Works by David Hockney are available through his representing galleries. Please visit the Galleries section for contact details.
faqs	faq	2	Can I use images of David Hockney's work in my publication or project?	All works by David Hockney are protected by copyright. For reproduction requests, please use the Reproduction Requests form.
faqs	faq	3	Does David Hockney accept commissions?	David Hockney does not currently accept commissions. All enquiries should be directed through his galleries.
faqs	faq	4	Where can I see David Hockney's work in person?	David Hockney's works are held in museums and collections around the world. Please see the Works in Public Collections section for more information.
faqs	faq	5	How can I contact David Hockney's studio directly?	David Hockney's studio does not accept unsolicited correspondence. For press and media enquiries, please use the Information Requests form.
NFT_report	paragraph	1		David Hockney has not authorised, endorsed, or participated in any NFT (Non-Fungible Token) sales of his artworks.
NFT_report	paragraph	2		Any NFTs purporting to represent David Hockney's works are unauthorised and may constitute fraud. Buyers should exercise extreme caution and be aware that the purchase of such NFTs does not confer any rights over the underlying artworks, which remain the property of David Hockney and/or their respective owners.
NFT_report	paragraph	3		David Hockney's studio is aware of multiple instances of fraudulent NFT sales using his name and images. We strongly advise the public not to purchase any NFTs claimed to be by or associated with David Hockney without first verifying their authenticity through official channels.
NFT_report	paragraph	4		If you encounter what you believe to be an unauthorised NFT using David Hockney's work, please contact us using the Information Requests form.
information_request	paragraph	1		For general information requests, press enquiries, and media requests, please contact David Hockney's studio through the appropriate gallery.
information_request	paragraph	2		Please note that due to the volume of correspondence received, it may not be possible to respond to every enquiry. We will do our best to respond to all legitimate press and media requests in a timely manner.
information_request	paragraph	3		For press and media enquiries, please provide: your name and organisation, the nature of your enquiry, your deadline (if applicable), and your contact details.
information_request	paragraph	4		All requests are handled in accordance with our Privacy Notice.
repro_request	paragraph	1		All images of works by David Hockney are protected by copyright. Permission must be obtained before reproducing any image in any medium, including print, digital, and broadcast.
repro_request	paragraph	2		To request permission to reproduce an image, please provide: the work(s) you wish to reproduce (title, date, medium), the purpose of reproduction (book, magazine, website, exhibition, etc.), the territory and language of publication, the edition size or expected audience reach, the proposed reproduction size, and your organisation and contact details.
repro_request	paragraph	3		Please note that reproduction fees may apply. All requests are subject to approval and the granting of permission does not imply endorsement of the publication or project.
repro_request	paragraph	4		Requests should be directed through the appropriate representing gallery. Please visit the Galleries section for contact details.
privacy_notice	paragraph	1		This Privacy Notice explains how we collect, use, and protect your personal information when you use this website.
privacy_notice	paragraph	2		Information We Collect: We may collect personal information that you provide to us directly, such as your name, email address, and any other information you provide when contacting us.
privacy_notice	paragraph	3		How We Use Your Information: We use the information we collect to respond to your enquiries, process requests, and improve our website and services.
privacy_notice	paragraph	4		Cookies: This website may use cookies to improve your browsing experience. You can control cookie settings through your browser preferences.
privacy_notice	paragraph	5		Third Parties: We do not sell, trade, or otherwise transfer your personal information to third parties without your consent, except where required by law.
privacy_notice	paragraph	6		Data Retention: We retain personal information only for as long as necessary to fulfil the purposes for which it was collected.
privacy_notice	paragraph	7		Your Rights: You have the right to access, correct, or delete personal information we hold about you. To exercise these rights, please contact us through the Information Requests form.
privacy_notice	paragraph	8		Changes to This Notice: We may update this Privacy Notice from time to time. Changes will be posted on this page.
